,Age
2139,Adult
2140,Adult
2141,Adult
2142,Adult
2143,Adult
2144,Adult
2145,Adult
2146,Adult
2147,Adult
2148,Adult
2149,Adult
2150,Adult
2151,Adult
2152,Adult
2153,Adult
2154,Adult
2155,Adult
2156,Adult
2157,Adult
2158,Adult
2159,Adult
2160,Adult
2161,Adult
2162,Adult
2163,Adult
2164,Adult
2165,Adult
2166,Adult
2167,Adult
2168,Adult
2169,Adult
2170,Adult
2171,Adult
2172,Adult
2173,Adult
2174,Adult
2175,Adult
2176,Adult
2177,Adult
2178,Adult
2179,Adult
2180,Adult
2181,Adult
2182,Adult
2183,Adult
2184,Adult
2185,Adult
2186,Adult
2187,Adult
2188,Adult
2189,Adult
2190,Adult
2191,Adult
2192,Adult
2193,Adult
2194,Adult
2195,Adult
2196,Adult
2197,Adult
2198,Adult
2199,Adult
2200,Adult
2201,Adult
2202,Adult
2203,Adult
2204,Adult
2205,Adult
2206,Adult
2207,Adult
2208,Adult
2209,Adult
2210,Adult
2211,Adult
2212,Adult
2213,Adult
2214,Adult
2215,Adult
2216,Adult
2217,Adult
2218,Adult
2219,Adult
2220,Adult
2221,Adult
2222,Adult
2223,Adult
2224,Adult
2225,Adult
2226,Adult
2227,Adult
2228,Adult
2229,Adult
2230,Adult
2231,Adult
2232,Adult
2233,Adult
2234,Adult
2235,Adult
2236,Adult
2237,Adult
2238,Adult
2239,Adult
2240,Adult
2241,Adult
2242,Adult
2243,Adult
2244,Adult
2245,Adult
2246,Adult
2247,Adult
2248,Adult
2249,Adult
2250,Adult
2251,Adult
2252,Adult
2253,Adult
2254,Adult
2255,Adult
2256,Adult
2257,Adult
2258,Adult
2259,Adult
2260,Adult
2261,Adult
2262,Adult
2263,Adult
2264,Adult
2265,Adult
2266,Adult
2267,Adult
2268,Adult
2269,Adult
2270,Adult
2271,Adult
2272,Adult
2273,Adult
2274,Adult
2275,Adult
2276,Adult
2277,Adult
2278,Adult
2279,Adult
2280,Adult
2281,Adult
2282,Adult
2283,Adult
2284,Adult
2285,Adult
2286,Adult
2287,Adult
2288,Adult
2289,Adult
2290,Adult
2291,Adult
2292,Adult
2293,Adult
2294,Adult
2295,Adult
2296,Adult
2297,Adult
2298,Adult
2299,Adult
2300,Adult
2301,Adult
2302,Adult
2303,Adult
2304,Adult
2305,Adult
2306,Adult
2307,Adult
2308,Adult
2309,Adult
2310,Adult
2311,Adult
2312,Adult
2313,Adult
2314,Adult
2315,Adult
2316,Adult
2317,Adult
2318,Adult
2319,Adult
2320,Adult
2321,Adult
2322,Adult
2323,Adult
2324,Adult
2325,Adult
2326,Adult
2327,Adult
2328,Adult
2329,Adult
2330,Adult
2331,Adult
2332,Adult
2333,Adult
2334,Adult
2335,Adult
2336,Adult
2337,Adult
2338,Adult
2339,Adult
2340,Adult
2341,Adult
2342,Adult
2343,Adult
2344,Adult
2345,Adult
2346,Adult
2347,Adult
2348,Adult
2349,Adult
2350,Adult
2351,Adult
2352,Adult
2353,Adult
2354,Adult
2355,Adult
2356,Adult
2357,Adult
2358,Adult
2359,Adult
2360,Adult
2361,Adult
2362,Adult
2363,Adult
2364,Adult
2365,Adult
2366,Adult
2367,Adult
2368,Adult
2369,Adult
2370,Adult
2371,Adult
2372,Adult
2373,Adult
2374,Adult
2375,Adult
2376,Adult
2377,Adult
2378,Adult
2379,Adult
2380,Adult
2381,Adult
2382,Adult
2383,Adult
2384,Adult
2385,Adult
2386,Adult
2387,Adult
2388,Adult
2389,Adult
2390,Adult
2391,Adult
2392,Adult
2393,Adult
2394,Adult
2395,Adult
2396,Adult
2397,Adult
2398,Adult
2399,Adult
2400,Adult
2401,Adult
2402,Adult
2403,Adult
2404,Adult
2405,Adult
2406,Adult
2407,Adult
2408,Adult
2409,Adult
2410,Adult
2411,Adult
2412,Adult
2413,Adult
2414,Adult
2415,Adult
2416,Adult
2417,Adult
2418,Adult
2419,Adult
2420,Adult
2421,Adult
2422,Adult
2423,Adult
2424,Adult
2425,Adult
2426,Adult
2427,Adult
2428,Adult
2429,Adult
2430,Adult
2431,Adult
2432,Adult
2433,Adult
2434,Adult
2435,Adult
2436,Adult
2437,Adult
2438,Adult
2439,Adult
2440,Adult
2441,Adult
2442,Adult
2443,Adult
2444,Adult
2445,Adult
2446,Adult
2447,Adult
2448,Adult
2449,Adult
2450,Adult
2451,Adult
2452,Adult
2453,Adult
2454,Adult
2455,Adult
2456,Adult
2457,Adult
2458,Adult
2459,Adult
2460,Adult
2461,Adult
2462,Adult
2463,Adult
2464,Adult
2465,Adult
2466,Adult
2467,Adult
2468,Adult
2469,Adult
2470,Adult
2471,Adult
2472,Adult
2473,Adult
2474,Adult
2475,Adult
2476,Adult
2477,Adult
2478,Adult
2479,Adult
2480,Adult
2481,Adult
2482,Adult
2483,Adult
2484,Adult
2485,Adult
2486,Adult
2487,Adult
2488,Adult
2489,Adult
2490,Adult
2491,Adult
2492,Adult
2493,Adult
2494,Adult
2495,Adult
2496,Adult
2497,Adult
2498,Adult
2499,Adult
2500,Adult
2501,Adult
2502,Adult
2503,Adult
2504,Adult
2505,Adult
2506,Adult
2507,Adult
2508,Adult
2509,Adult
2510,Adult
2511,Adult
2512,Adult
2513,Adult
2514,Adult
2515,Adult
2516,Adult
2517,Adult
2518,Adult
2519,Adult
2520,Adult
2521,Adult
2522,Adult
2523,Adult
2524,Adult
2525,Adult
2526,Adult
2527,Adult
2528,Adult
2529,Adult
2530,Adult
2531,Adult
2532,Adult
2533,Adult
2534,Adult
2535,Adult
2536,Adult
2537,Adult
2538,Adult
2539,Adult
2540,Adult
2541,Adult
2542,Adult
2543,Adult
2544,Adult
2545,Adult
2546,Adult
2547,Adult
2548,Adult
2549,Adult
2550,Adult
2551,Adult
2552,Adult
2553,Adult
2554,Adult
2555,Adult
2556,Adult
2557,Adult
2558,Adult
2559,Adult
2560,Adult
2561,Adult
2562,Adult
2563,Adult
2564,Adult
2565,Adult
2566,Adult
2567,Adult
